,Date,Location,"Confirmed/
possible US strike",Air strike?,Drone strike,Strike type,Minimum strikes,Maximum strikes,Minimum people killed,Maximum people killed,Minimum civilians killed,Maximum civilians killed,Minimum children killed,Maximum children killed,Minimum people injured,Maximum people injured,Strike link,,Index
SOM061,05/09/2017,Bay region,Confirmed,1,0,Air operation - drone or airstrike,1,1,3,3,0,0,0,0,0,0,,,56
SOM062,07/09/2017,"Barawe, Lower Shabelle",Confirmed,1,0,Air operation - drone or airstrike,1,1,1,1,0,0,0,0,0,0,,,57
SOM063,13/09/2017,Southern Somalia,Confirmed,1,0,Air operation - drone or airstrike,1,1,6,6,0,0,0,0,0,0,,,58
SOM064,30/09/2017,Southern Somalia,Confirmed,1,0,Air operation - drone or airstrike,1,1,0,0,0,0,0,0,0,0,,,82
SOM065,02/10/2017,Southern Somalia,Confirmed,1,0,Air operation - drone or airstrike,1,1,0,0,0,0,0,0,0,0,,,83
SOM066,16/10/2017,"Bariire, Lower Shabelle region",Confirmed,1,1,Air operation - drone or airstrike,1,1,0,0,0,0,0,0,0,0,,,59
SOM067,03/11/2017,"Qandala town, Puntland",Confirmed,1,0,Air operation - drone or airstrike,2,2,3,20,0,0,0,0,0,0,,,60
SOM068,09/11/2017,Bay region,Confirmed,1,0,Air operation - drone or airstrike,1,1,3,3,0,0,0,0,0,0,,,61
SOM069,10/11/2017,"Basra village, Lower Shabelle ",Confirmed,1,1,Air operation - drone or airstrike,1,1,13,13,0,3,0,0,0,0,,,62
SOM070,11/11/2017,Gaduud,Confirmed,1,0,Air operation - drone or airstrike,1,1,1,1,0,0,0,0,0,0,,,63
SOM071,12/11/2017,Lower Shabelle,Confirmed,1,0,Air operation - drone or airstrike,1,1,19,19,0,0,0,0,0,0,,,64
SOM072,12/11/2017,Puntland,Confirmed,1,0,Air operation - drone or airstrike,1,1,4,4,0,0,0,0,0,0,,,65
SOM073,13/11/2017,"Awhiigle, Gaduud",Confirmed,1,0,Air operation - drone or airstrike,1,1,0,0,0,0,0,0,0,0,,,66
SOM074,14/11/2017,"Idow Jalad, Lower Shabelle",Confirmed,1,0,Air operation - drone or airstrike,1,1,6,6,0,0,0,0,0,0,,,67
SOM075,21/11/2017,Bay region,Confirmed,1,0,Air operation - drone or airstrike,1,1,100,100,0,0,0,0,0,0,,,68
SOM076,27/11/2017,Northeastern,Confirmed,1,0,Air operation - drone or airstrike,1,1,1,1,0,0,0,0,0,0,,,69
SOM077,12/12/2017,"Mubarak, Lower Shabelle",Confirmed,1,1,Air operation - drone or airstrike,1,1,0,0,0,0,0,0,0,0,,,70
SOM078,15/12/2017,30 miles northwest of Kismayo,Confirmed,1,1,Air operation - drone or airstrike,1,1,8,8,0,0,0,0,0,0,,,71
SOM079,24/12/2017,Southern Somalia,Confirmed,1,0,Air operation - drone or airstrike,1,1,13,13,0,0,0,0,0,0,,,72
SOM080,27/12/2017,25 kilometers west of Mogadishu,Confirmed,1,0,Air operation - drone or airstrike,1,1,4,4,0,0,0,0,0,0,,,73
SOM081,02/01/2018,50 kilometers west of Mogadishu,Confirmed,1,0,Air operation - drone or airstrike,1,1,2,2,0,0,0,0,0,0,,,74
SOM082,18/01/2018,51 kilometers northwest of Kismayo,Confirmed,1,0,Air operation - drone or airstrike,1,1,4,4,0,0,0,0,0,0,,,75
SOM083,18/01/2018,Middle Shabelle region,Confirmed,0,0,Ground operation - Somali-led or joint operation,1,1,0,5,0,0,0,5,0,6,,,76
SOM084,19/02/2018,"Jilib, Middle Juba Region",Confirmed,1,0,Air operation - drone or airstrike,1,1,3,3,0,0,0,0,0,0,,,77
SOM085,21/02/2018,"Jamaame, Lower Juba region",Confirmed,1,1,Air operation - drone or airstrike,1,1,4,5,0,2,0,0,0,0,,,78
SOM086,26/02/2018,"Jilib, Middle Juba Region",Confirmed,1,1,Air operation - drone or airstrike,1,1,2,2,0,0,0,0,1,1,,,79
